CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
203995,0,36.0,1,1,7.0,0.17986896962477666,1,2,5.0,0.2959671907040328,3.0,0,3.0,0,4,1,1.0,0.2959671907040328,21537.0
202610,0,42.0,1,1,21.0,0.17755532139093783,1,3,4.0,0.2959671907040328,3.0,1,6.0,0,4,1,2.0,0.2959671907040328,21129.0
203083,0,50.0,1,1,7.0,0.26586102719033233,0,3,4.0,0.2959671907040328,5.0,0,4.0,0,4,1,1.0,0.2959671907040328,22258.0
203973,0,38.0,1,1,7.0,0.17755532139093783,1,3,5.0,0.11869225302061123,3.0,1,3.0,0,5,0,1.0,0.11869225302061123,24671.0
204044,0,44.0,0,1,35.0,0.17986896962477666,0,4,2.0,0.2959671907040328,3.0,0,6.0,0,3,0,3.0,0.2959671907040328,23417.0
200211,0,30.0,0,1,6.0,0.17755532139093783,1,2,4.0,0.1624790619765494,3.0,0,2.0,0,5,1,1.0,0.1624790619765494,23474.0
203114,0,28.0,1,1,11.0,0.17755532139093783,0,4,4.0,0.2959671907040328,3.0,0,3.0,0,2,1,2.0,0.2959671907040328,20996.0
200084,0,34.0,1,1,20.0,0.17986896962477666,1,3,3.0,0.11869225302061123,4.0,0,2.0,0,5,0,0.0,0.11869225302061123,19523.0
201921,0,42.0,1,1,30.0,0.17986896962477666,1,2,3.0,0.1624790619765494,5.0,1,2.0,1,1,1,0.0,0.1624790619765494,22406.0
201859,0,41.0,1,1,16.0,0.17755532139093783,1,2,3.0,0.11869225302061123,4.0,0,3.0,1,5,0,1.0,0.11869225302061123,20321.0
204062,0,42.0,1,1,16.0,0.17755532139093783,1,4,4.0,0.2959671907040328,5.0,1,4.0,0,1,0,1.0,0.2959671907040328,20916.0
200679,0,31.0,0,3,26.0,0.17986896962477666,0,2,3.0,0.11869225302061123,3.0,0,2.0,0,2,1,0.0,0.11869225302061123,21932.0
202721,0,39.0,1,3,14.0,0.17986896962477666,0,3,3.0,0.11869225302061123,5.0,1,3.0,1,3,0,1.0,0.11869225302061123,24283.0
203565,0,37.0,1,3,7.0,0.17755532139093783,0,4,4.0,0.11869225302061123,3.0,0,8.0,0,1,1,2.0,0.11869225302061123,25493.0
203488,0,50.0,1,1,12.0,0.26586102719033233,1,4,4.0,0.11869225302061123,3.0,0,4.0,0,3,0,1.0,0.11869225302061123,25329.0
203077,0,37.0,1,2,15.0,0.17755532139093783,1,4,5.0,0.2959671907040328,5.0,0,2.0,0,2,1,3.0,0.2959671907040328,21020.0
200565,0,29.0,1,1,16.0,0.17986896962477666,1,3,2.0,0.2959671907040328,3.0,0,2.0,0,2,1,1.0,0.2959671907040328,18505.0
201047,0,33.0,1,3,11.0,0.17986896962477666,1,2,3.0,0.11869225302061123,5.0,0,1.0,0,3,0,0.0,0.11869225302061123,19859.0
201483,0,34.0,1,1,25.0,0.17986896962477666,1,3,3.0,0.2959671907040328,3.0,1,1.0,0,3,0,0.0,0.2959671907040328,17661.0
202072,0,30.0,1,1,8.0,0.17986896962477666,0,2,4.0,0.11869225302061123,3.0,0,6.0,1,1,1,1.0,0.11869225302061123,21877.0
203443,0,43.0,1,2,17.0,0.17755532139093783,0,3,4.0,0.06296296296296296,5.0,0,2.0,0,3,0,0.0,0.06296296296296296,35477.0
200680,0,36.0,1,1,9.0,0.17755532139093783,1,3,3.0,0.2959671907040328,3.0,0,3.0,0,3,0,2.0,0.2959671907040328,19678.0
200829,1,33.0,1,3,15.0,0.17986896962477666,0,3,3.0,0.11869225302061123,5.0,0,1.0,1,3,0,1.0,0.11869225302061123,23224.0
204332,0,27.0,1,1,30.0,0.17755532139093783,0,3,4.0,0.2959671907040328,3.0,1,3.0,0,3,0,1.0,0.2959671907040328,21564.0
202940,0,22.0,1,3,29.0,0.26586102719033233,1,3,4.0,0.2959671907040328,3.0,0,3.0,0,2,1,2.0,0.2959671907040328,22125.0
203331,0,43.0,0,1,33.0,0.17986896962477666,0,3,4.0,0.1624790619765494,5.0,0,5.0,1,3,0,2.0,0.1624790619765494,31869.0
202227,0,34.0,1,3,6.0,0.17986896962477666,1,3,1.0,0.11869225302061123,3.0,1,1.0,0,5,0,1.0,0.11869225302061123,24725.0
204181,0,26.0,0,1,12.0,0.17755532139093783,1,3,2.0,0.11869225302061123,5.0,1,3.0,0,5,1,2.0,0.11869225302061123,22678.0
204854,1,40.0,1,1,31.0,0.17986896962477666,1,3,4.0,0.2959671907040328,4.0,1,3.0,1,1,0,1.0,0.2959671907040328,22582.0
201721,0,39.0,0,1,8.0,0.26586102719033233,0,3,3.0,0.1624790619765494,3.0,0,1.0,0,1,1,2.0,0.1624790619765494,25938.0
202309,0,42.0,1,3,10.0,0.17986896962477666,1,2,3.0,0.11869225302061123,5.0,0,1.0,0,5,1,0.0,0.11869225302061123,20155.0
200180,0,27.0,1,1,18.0,0.17986896962477666,0,3,3.0,0.2959671907040328,3.0,0,1.0,1,4,1,2.0,0.2959671907040328,18058.0
201751,0,42.0,1,3,6.0,0.17755532139093783,1,1,3.0,0.11869225302061123,3.0,1,2.0,0,3,1,0.0,0.11869225302061123,19907.0
200432,0,34.0,1,1,8.0,0.17755532139093783,1,3,4.0,0.2959671907040328,3.0,1,4.0,0,5,1,0.0,0.2959671907040328,17768.0
202036,1,47.0,0,3,33.0,0.17755532139093783,0,3,1.0,0.11869225302061123,3.0,0,5.0,1,4,0,1.0,0.11869225302061123,21397.0
200289,0,28.0,1,1,14.0,0.17755532139093783,0,3,3.0,0.2959671907040328,3.0,0,2.0,0,4,0,1.0,0.2959671907040328,18310.0
202619,0,57.0,1,1,15.0,0.17755532139093783,0,4,4.0,0.2959671907040328,5.0,1,6.0,1,4,1,2.0,0.2959671907040328,22935.0
204313,0,32.0,1,1,7.0,0.17755532139093783,1,4,5.0,0.2959671907040328,5.0,1,3.0,0,4,1,2.0,0.2959671907040328,20896.0
201001,0,38.0,1,1,17.0,0.17986896962477666,0,3,3.0,0.2959671907040328,3.0,0,5.0,0,3,0,1.0,0.2959671907040328,18629.0
201018,0,36.0,1,1,10.0,0.17755532139093783,1,2,4.0,0.11869225302061123,3.0,0,2.0,0,5,1,1.0,0.11869225302061123,20810.0
200535,0,41.0,1,2,16.0,0.17755532139093783,1,3,4.0,0.08670520231213873,3.0,1,4.0,0,2,1,0.0,0.08670520231213873,34141.0
203231,0,56.0,0,1,9.0,0.17755532139093783,1,4,4.0,0.1624790619765494,4.0,0,5.0,0,2,1,2.0,0.1624790619765494,29654.0
203868,0,36.0,1,1,16.0,0.17986896962477666,1,3,4.0,0.11869225302061123,3.0,0,3.0,0,4,0,2.0,0.11869225302061123,23776.0
203558,0,49.0,1,1,22.0,0.17755532139093783,0,4,4.0,0.2959671907040328,5.0,1,2.0,0,1,1,1.0,0.2959671907040328,21045.0
200188,0,34.0,0,1,8.0,0.17755532139093783,1,2,4.0,0.11869225302061123,3.0,0,2.0,0,4,0,0.0,0.11869225302061123,24547.0
201705,0,43.0,1,3,22.0,0.17986896962477666,0,3,3.0,0.06296296296296296,3.0,1,6.0,1,3,0,0.0,0.06296296296296296,31064.0
202091,0,36.0,1,3,6.0,0.17755532139093783,1,2,3.0,0.11869225302061123,3.0,1,2.0,1,3,1,1.0,0.11869225302061123,21201.0
204091,1,20.0,1,1,20.0,0.17755532139093783,1,3,5.0,0.2959671907040328,3.0,0,3.0,0,5,1,1.0,0.2959671907040328,19780.0
201095,0,33.0,1,1,34.0,0.17755532139093783,1,3,3.0,0.11869225302061123,3.0,1,2.0,1,1,1,0.0,0.11869225302061123,20207.0
200270,0,55.0,1,1,6.0,0.17986896962477666,1,2,3.0,0.08670520231213873,5.0,0,1.0,1,2,1,0.0,0.08670520231213873,34045.0
202554,0,52.0,0,1,7.0,0.17986896962477666,0,2,5.0,0.1624790619765494,5.0,0,5.0,0,2,1,1.0,0.1624790619765494,26162.0
203918,0,28.0,1,1,9.0,0.17986896962477666,1,3,4.0,0.2959671907040328,4.0,1,2.0,0,5,1,2.0,0.2959671907040328,22146.0
203697,0,34.0,0,3,9.0,0.17986896962477666,0,4,4.0,0.11869225302061123,4.0,0,2.0,0,1,0,1.0,0.11869225302061123,23825.0
203553,0,31.0,1,3,36.0,0.26586102719033233,1,3,4.0,0.1624790619765494,4.0,1,5.0,0,4,0,2.0,0.1624790619765494,27928.0
200111,1,34.0,0,1,13.0,0.17755532139093783,1,3,5.0,0.11869225302061123,3.0,0,2.0,1,5,1,1.0,0.11869225302061123,21074.0
201770,0,41.0,1,3,8.0,0.17755532139093783,1,2,3.0,0.06296296296296296,4.0,0,2.0,0,3,1,1.0,0.06296296296296296,31015.0
200220,0,36.0,1,1,11.0,0.17755532139093783,1,3,3.0,0.11869225302061123,4.0,0,1.0,0,2,0,2.0,0.11869225302061123,20914.0
200627,0,52.0,0,1,31.0,0.17986896962477666,0,2,4.0,0.06296296296296296,3.0,0,4.0,0,5,0,1.0,0.06296296296296296,28826.0
202718,0,22.0,1,1,10.0,0.17986896962477666,1,4,5.0,0.2959671907040328,3.0,0,3.0,0,5,1,2.0,0.2959671907040328,21908.0
203227,0,42.0,1,1,14.0,0.26586102719033233,0,3,2.0,0.2959671907040328,3.0,0,3.0,0,3,1,2.0,0.2959671907040328,22054.0
202330,1,22.0,0,1,9.0,0.17755532139093783,1,2,4.0,0.2959671907040328,3.0,1,1.0,1,3,0,1.0,0.2959671907040328,17853.0
200790,0,33.0,1,1,11.0,0.17755532139093783,1,2,4.0,0.1624790619765494,3.0,1,5.0,0,3,0,0.0,0.1624790619765494,22119.0
202191,0,50.0,1,1,30.0,0.17755532139093783,1,3,3.0,0.06296296296296296,3.0,1,4.0,1,4,1,2.0,0.06296296296296296,28973.0
200461,0,35.0,1,3,15.0,0.17986896962477666,0,3,3.0,0.11869225302061123,3.0,0,2.0,0,4,0,2.0,0.11869225302061123,19859.0
204306,0,55.0,1,1,12.0,0.17986896962477666,1,3,4.0,0.08670520231213873,5.0,1,3.0,0,4,1,1.0,0.08670520231213873,38084.0
200551,0,39.0,1,2,9.0,0.17755532139093783,0,2,2.0,0.11869225302061123,4.0,0,1.0,0,2,1,0.0,0.11869225302061123,21389.0
201103,0,48.0,1,3,22.0,0.17755532139093783,0,3,3.0,0.11869225302061123,3.0,1,1.0,0,4,1,0.0,0.11869225302061123,21439.0
201374,0,58.0,1,3,27.0,0.17755532139093783,0,3,3.0,0.06296296296296296,3.0,1,5.0,1,5,1,0.0,0.06296296296296296,32875.0
200198,0,38.0,1,1,8.0,0.17755532139093783,1,2,3.0,0.11869225302061123,3.0,0,1.0,0,2,0,1.0,0.11869225302061123,21553.0
203816,0,40.0,1,1,16.0,0.17986896962477666,1,3,4.0,0.11869225302061123,5.0,1,3.0,0,4,1,1.0,0.11869225302061123,23829.0
200402,0,30.0,1,3,18.0,0.26586102719033233,0,2,3.0,0.11869225302061123,3.0,0,1.0,0,2,1,0.0,0.11869225302061123,21577.0
202937,0,45.0,1,2,7.0,0.17755532139093783,0,3,5.0,0.11869225302061123,3.0,0,6.0,0,5,1,2.0,0.11869225302061123,24663.0
